Category1,Category2,KNOW직업명
창의·예술형,스포츠·레크리에이션직,스포츠감독 및 코치
창의·예술형,스포츠·레크리에이션직,직업운동선수
창의·예술형,스포츠·레크리에이션직,프로게이머
창의·예술형,스포츠·레크리에이션직,경기심판
창의·예술형,스포츠·레크리에이션직,스포츠강사
창의·예술형,스포츠·레크리에이션직,스포츠트레이너
창의·예술형,스포츠·레크리에이션직,레크리에이션전문가
사람·서비스형,미용·예식 서비스직,이용사
사람·서비스형,미용·예식 서비스직,미용사
사람·서비스형,미용·예식 서비스직,피부 및 체형관리사
사람·서비스형,미용·예식 서비스직,네일아티스트
사람·서비스형,미용·예식 서비스직,메이크업아티스트 
사람·서비스형,미용·예식 서비스직,분장사
사람·서비스형,미용·예식 서비스직,반려동물미용사
사람·서비스형,미용·예식 서비스직,수의사보조원
사람·서비스형,미용·예식 서비스직,웨딩플래너
사람·서비스형,미용·예식 서비스직,혼례종사원
사람·서비스형,미용·예식 서비스직,장례지도사 및 장례상담원
사람·서비스형,여행·숙박·오락 서비스직,여행상품개발자
사람·서비스형,여행·숙박·오락 서비스직,여행사무원
사람·서비스형,여행·숙박·오락 서비스직,자연 및 문화해설사
사람·서비스형,여행·숙박·오락 서비스직,여행안내원
사람·서비스형,여행·숙박·오락 서비스직,항공기객실승무원
사람·서비스형,여행·숙박·오락 서비스직,선박객실승무원
사람·서비스형,여행·숙박·오락 서비스직,열차객실승무원
사람·서비스형,여행·숙박·오락 서비스직,숙박시설서비스원
사람·서비스형,여행·숙박·오락 서비스직,오락시설서비스원
사람·서비스형,음식 서비스직,주방장
분석·연구형,건설·채굴 연구개발직 및 공학기술직,토목안전·환경·품질기술자
분석·연구형,건설·채굴 연구개발직 및 공학기술직,토목시공기술자 및 견적원
분석·연구형,건설·채굴 연구개발직 및 공학기술직,조경기술자
분석·연구형,건설·채굴 연구개발직 및 공학기술직,도시계획·설계가
분석·연구형,건설·채굴 연구개발직 및 공학기술직,교통계획·설계가
분석·연구형,건설·채굴 연구개발직 및 공학기술직,교통영향평가원
분석·연구형,건설·채굴 연구개발직 및 공학기술직,지적 및 측량기술자
분석·연구형,건설·채굴 연구개발직 및 공학기술직,지리정보시스템전문가
분석·연구형,건설·채굴 연구개발직 및 공학기술직,건설자재시험원
분석·연구형,제조 연구개발직 및 공학기술직,건설기계공학기술자 및 연구원
분석·연구형,제조 연구개발직 및 공학기술직,플랜트기계공학기술자
분석·연구형,제조 연구개발직 및 공학기술직,항공공학기술자
분석·연구형,제조 연구개발직 및 공학기술직,자동차공학기술자
분석·연구형,제조 연구개발직 및 공학기술직,조선·해양공학기술자
분석·연구형,제조 연구개발직 및 공학기술직,로봇공학기술자
분석·연구형,제조 연구개발직 및 공학기술직,기계시험원
분석·연구형,제조 연구개발직 및 공학기술직,금속·재료공학기술자
분석·연구형,제조 연구개발직 및 공학기술직,금속·재료공학시험원
분석·연구형,제조 연구개발직 및 공학기술직,전기기기·제품개발기술자 및 연구원
분석·연구형,제조 연구개발직 및 공학기술직,전기계측제어기술자
분석·연구형,제조 연구개발직 및 공학기술직,발전설비기술자
분석·연구형,제조 연구개발직 및 공학기술직,송·배전설비기술자
분석·연구형,제조 연구개발직 및 공학기술직,전기감리기술자
분석·연구형,제조 연구개발직 및 공학기술직,전기안전기술자
분석·연구형,제조 연구개발직 및 공학기술직,전자제품 및 부품 개발기술자
분석·연구형,제조 연구개발직 및 공학기술직,반도체공학기술자 및 연구원
분석·연구형,제조 연구개발직 및 공학기술직,전자계측제어기술자
분석·연구형,제조 연구개발직 및 공학기술직,디스플레이연구 및 개발자
분석·연구형,제조 연구개발직 및 공학기술직,전기·전자공학시험원
분석·연구형,제조 연구개발직 및 공학기술직,석유화학공학기술자 및 연구원
분석·연구형,제조 연구개발직 및 공학기술직,고무·플라스틱 화학공학기술자 및 연구원
분석·연구형,제조 연구개발직 및 공학기술직,도료·농약품 화학공학기술자 및 연구원
분석·연구형,제조 연구개발직 및 공학기술직,비누·화장품 화학공학기술자 및 연구원
분석·연구형,제조 연구개발직 및 공학기술직,의약품공학기술자 및 연구원
분석·연구형,제조 연구개발직 및 공학기술직,화학공학시험원
분석·연구형,제조 연구개발직 및 공학기술직,태양광발전연구 및 개발자
분석·연구형,제조 연구개발직 및 공학기술직,풍력발전연구 및 개발자
분석·연구형,제조 연구개발직 및 공학기술직,원자력공학기술자
분석·연구형,제조 연구개발직 및 공학기술직,에너지시험원
분석·연구형,제조 연구개발직 및 공학기술직,대기환경기술자 및 연구원
분석·연구형,제조 연구개발직 및 공학기술직,수질환경기술자 및 연구원
분석·연구형,제조 연구개발직 및 공학기술직,폐기물처리기술자
분석·연구형,제조 연구개발직 및 공학기술직,환경영향평가원
분석·연구형,제조 연구개발직 및 공학기술직,소음진동기술자 및 연구원
분석·연구형,제조 연구개발직 및 공학기술직,토양환경기술자 및 연구원
분석·연구형,제조 연구개발직 및 공학기술직,환경시험원
분석·연구형,제조 연구개발직 및 공학기술직,보건위생·환경검사원
분석·연구형,제조 연구개발직 및 공학기술직,섬유공학기술자
분석·연구형,제조 연구개발직 및 공학기술직,섬유공학시험원
분석·연구형,제조 연구개발직 및 공학기술직,식품공학기술자 및 연구원
분석·연구형,제조 연구개발직 및 공학기술직,식품공학시험원
분석·연구형,제조 연구개발직 및 공학기술직,소방공학기술자 및 연구원
분석·연구형,제조 연구개발직 및 공학기술직,산업안전원
분석·연구형,제조 연구개발직 및 공학기술직,위험관리원
분석·연구형,제조 연구개발직 및 공학기술직,비파괴검사원
분석·연구형,제조 연구개발직 및 공학기술직,3D프린팅모델러
분석·연구형,제조 연구개발직 및 공학기술직,제도사(캐드원)
사람·서비스형,교육직,대학교수
사람·서비스형,교육직,대학시간강사
사람·서비스형,교육직,중·고등학교교사
사람·서비스형,교육직,초등학교교사
사람·서비스형,교육직,특수교육교사
사람·서비스형,교육직,보조교사
사람·서비스형,교육직,유치원교사
사람·서비스형,교육직,문리학원강사
사람·서비스형,교육직,외국어강사
조직·경영형,관리직(임원·부서장),고위공무원
조직·경영형,관리직(임원·부서장),기업고위임원
조직·경영형,관리직(임원·부서장),정부행정관리자
조직·경영형,관리직(임원·부서장),경영지원관리자
조직·경영형,관리직(임원·부서장),마케팅·광고·홍보관리자
조직·경영형,관리직(임원·부서장),금융관리자
조직·경영형,관리직(임원·부서장),보험관리자
조직·경영형,관리직(임원·부서장),연구관리자
조직·경영형,관리직(임원·부서장),유치원 원장 및 원감
조직·경영형,관리직(임원·부서장),초등학교 교장 및 교감
조직·경영형,관리직(임원·부서장),중고등학교 교장 및 교감
조직·경영형,관리직(임원·부서장),대학교 총장 및 대학학장
조직·경영형,관리직(임원·부서장),경찰·소방·교도관리자
조직·경영형,관리직(임원·부서장),보건·의료관리자
조직·경영형,관리직(임원·부서장),사회복지관리자
조직·경영형,관리직(임원·부서장),예술·디자인·방송관리자
조직·경영형,관리직(임원·부서장),정보통신관리자
조직·경영형,관리직(임원·부서장),여행·호텔관리자
조직·경영형,관리직(임원·부서장),음식서비스관리자
